ue_id,lon,lat,tick,space_type
0,-74.04035169153696,40.74516499216707,13,dense
1,-74.03659893549198,40.768799507465914,13,dense
2,-74.01992898001305,40.75270367517341,13,dense
3,-74.04654569209451,40.75399519047545,13,dense
4,-74.02934692366108,40.740099380240046,13,dense
5,-74.03613217205123,40.75917773358075,13,dense
6,-74.02973896911021,40.762636738886464,13,dense
7,-74.03337886590126,40.76023557922938,13,dense
8,-73.97694513896242,40.764799735044726,13,dense
9,-74.03086282419515,40.73783197803951,13,dense
10,-73.9787816418869,40.767612412854966,13,dense
11,-74.02790171847037,40.75984891409879,13,dense
12,-73.96905041490342,40.749890731273126,13,dense
13,-74.0182624194306,40.73445625681352,13,dense
14,-74.05376276615564,40.74267712810749,13,dense
15,-74.02257250998767,40.76174341456441,13,dense
16,-73.97365277056774,40.745051543228016,13,dense
17,-74.02539781142741,40.74419061184166,13,dense
18,-73.98667729778673,40.728138078275855,13,dense
19,-74.05008661550293,40.74970018469492,13,dense
20,-74.04918526127858,40.74229793540934,13,dense
21,-74.0271849712573,40.76493534063223,13,dense
22,-73.95227195040245,40.764721364433996,13,dense
23,-73.96997721576143,40.742878424548834,13,dense
24,-74.03209410350061,40.75924666182293,13,dense
25,-74.0444822573251,40.73724507654259,13,dense
26,-73.9803540270158,40.76554416799151,13,dense
27,-74.0414182165263,40.726730468869064,13,dense
28,-73.95763693748705,40.76910304715598,13,dense
29,-74.03664317053243,40.72836016138308,13,dense
30,-74.02104402392006,40.7380294725763,13,dense
31,-74.01434530315039,40.75706688214391,13,dense
32,-74.0193791951748,40.74045332711045,13,dense
33,-74.04857582486872,40.74689051922271,13,dense
34,-74.0410025545405,40.769512173728174,13,dense
35,-74.01084124962452,40.756097495624665,13,dense
36,-74.03021661296293,40.73791289559717,13,dense
37,-74.04090544500377,40.74175315621746,13,dense
38,-74.01526729322833,40.753393879129604,13,dense
39,-73.99439595744137,40.74312097258413,13,dense
40,-74.03589134933985,40.73992430568551,13,dense
41,-74.04106787515369,40.74415908860872,13,dense
42,-74.01634218369487,40.72667594131242,13,dense
43,-74.02967398600919,40.74218625979978,13,dense
44,-74.0280989935628,40.754566225636346,13,dense
45,-74.01941917010622,40.757637242265915,13,dense
46,-73.95477643702664,40.74380087643279,13,suburban
47,-73.99170453456269,40.73787592203624,13,suburban
48,-73.97601185746022,40.76854642559856,13,suburban
49,-73.98100231981894,40.77638231525665,13,suburban
50,-74.00089278962692,40.78421674874894,13,suburban
51,-74.02862357853125,40.76621494743642,13,suburban
52,-74.02370234162807,40.73089023921142,13,suburban
53,-74.0078909880685,40.77867574057137,13,suburban
54,-74.00045376056222,40.745873992153285,13,suburban
55,-74.00486788743122,40.78553627250256,13,suburban
56,-73.98407004505887,40.747748359673565,13,suburban
57,-73.99598089846643,40.751934414452094,13,suburban
58,-74.00511976910951,40.78612223831197,13,suburban
59,-74.00101615069492,40.73754761570324,13,suburban
60,-73.99663604988979,40.78419617935569,13,suburban
61,-74.01764709125626,40.7654883706277,13,suburban
62,-73.96595353316084,40.749962808818935,13,suburban
63,-74.02171032740492,40.78055083718794,13,suburban
64,-74.02333882469684,40.781953538926,13,suburban
65,-74.00667562404614,40.744389952144104,13,suburban
66,-73.95448178126661,40.754605402315875,13,suburban
67,-73.97549130005937,40.74325458394597,13,suburban
68,-74.03265445388217,40.75852982648584,13,suburban
69,-73.9851720634796,40.778465409258,13,suburban
70,-73.95328397439195,40.761576059817415,13,suburban
71,-74.03285012000306,40.78192095894605,13,suburban
72,-74.03295805921702,40.75484690653676,13,suburban
73,-74.03804904185337,40.76532805878797,13,suburban
74,-73.9879753894675,40.771750623577944,13,suburban
75,-74.02908876694694,40.77321369950453,13,suburban
76,-74.03734088858063,40.78318213071861,13,suburban
77,-73.98042727075567,40.74872298578113,13,suburban
78,-73.98068307701178,40.773243131725856,13,suburban
79,-73.96344276089566,40.734656642733306,13,suburban
80,-73.96878918133591,40.763076508483024,13,suburban
81,-74.00768250154621,40.75996122634242,13,suburban
82,-74.04883463188834,40.73603461054755,13,rural
83,-74.01595843166206,40.74661748307534,13,rural
84,-74.00615914106466,40.784535465012056,13,rural
85,-74.03802497637047,40.777110732983914,13,rural
86,-74.05680705412693,40.74370964081136,13,rural
87,-74.04840704266955,40.75495876757396,13,rural
88,-73.98861498641712,40.72550167058559,13,rural
89,-74.03910852092183,40.74832574780738,13,rural
90,-74.03123400686565,40.729981336330276,13,rural
91,-74.0527543037078,40.737313882508595,13,rural
92,-74.04310554791233,40.74496379627535,13,rural
93,-74.02928955294935,40.78576637715715,13,rural
94,-74.03507523031689,40.730281661126874,13,rural
95,-74.0077617145432,40.76235986371594,13,rural
96,-74.03714206121462,40.730276395312245,13,rural
97,-74.05243317746387,40.75981614785076,13,rural
98,-74.0496450018469,40.758922141643914,13,rural
99,-74.03222970824112,40.78478911497575,13,rural
